QTL Search | OZ Sorghum						
QTL Id	Publication	Population	Trait Description	LG:Start-End (v3.0)	Genes Under QTL (v3.0)	Synteny
QDMGR9.23	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	9:48331105-48593955	23	
QDMGR9.14	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:48468047-49459205	66	
QDMGR9.15	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:48468047-49459205	66	
QDMGR9.16	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:48468047-49459205	66	
QDMGR9.24	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	9:53828126-53868057	8	
QDMGR9.20	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	9:55312945-55910164	95	
QDMGR9.17	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:56104114-56610219	68	
QDMGR10.30	Fiedler et al 2016	Pop1	Dry matter growth rate	10:1526414-8650928	815	
QDMGR10.1	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:1573388-1598374	6	
QDMGR10.2	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:1573388-1598374	6	
QDMGR10.3	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:1573388-1598374	6	
QDMGR10.32	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	10:3446687-4691594	161	
QDMGR10.33	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	10:3446687-4691594	161	
QDMGR10.4	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:7418242-7646904	30	
QDMGR10.5	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:7418242-7646904	30	
QDMGR10.6	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:7418242-7646904	30	
QDMGR10.7	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:7418242-7646904	30	
QDMGR10.8	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:7418242-7646904	30	
QDMGR10.27	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:7418242-7646904	30	
QDMGR10.9	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:8044545-8486796	36	
QDMGR10.10	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:8044545-8486796	36	
QDMGR10.11	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:8044545-8486796	36	
QDMGR10.12	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:8044545-8486796	36	
QDMGR10.13	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:8044545-8486796	36	
QDMGR10.28	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:8044545-8486796	36	
QDMGR10.29	Fiedler et al 2016	Pop1	Dry matter growth rate	10:8734552-54589122	1137	
QDMGR10.14	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:9361134-9791830	31	
QDMGR10.15	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:9361134-9791830	31	
QDMGR10.16	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:10520111-13359690	129	
QDMGR10.17	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:10520111-13359690	129	
QDMGR10.31	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	10:13700874-14171310	20	
QDMGR10.18	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:41745111-45890587	93	
QDMGR10.19	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:41745111-45890587	93	
QDMGR10.20	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:49879690-50273151	22	
QDMGR10.21	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:49879690-50273151	22	
QDMGR10.22	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:49879690-50273151	22	
QDMGR10.23	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:51313679-51730693	35	
QDMGR10.24	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:51313679-51730693	35	
QDMGR10.25	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:56361603-56433897	10	
QDMGR10.26	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	10:56361603-56433897	10	
